dataset,cancer_subtype,joint_cancer_subtype
FDL_patient,basal cell skin carcinoma,basal_cell_carcinoma_skin
FDL_patient,breast carcinoma,breast_carcinoma_nos
FDL_patient,cholangiocarcinoma,cholangiocarcinoma
FDL_patient,clear cell ovary,ovary_clear_cell_carcinoma
FDL_patient,clear cell renal cell carcinoma,renal_cell_carcinoma_clear_cell
FDL_patient,colorectal adenocarcinoma,colorectal_adenocarcinoma
FDL_patient,cutaneous melanoma,melanoma_cutaneous
FDL_patient,cutaneous squamous cell carcinoma,squamous_cell_carcinoma_cutaneous
FDL_patient,endometrial adenocarcinoma,endometrial_adenocarcinoma
FDL_patient,endometrioid ovary,ovary_endometrioid_carcinoma
FDL_patient,ewing sarcoma,ewing_sarcoma
FDL_patient,fibrosarcoma,fibrosarcoma
FDL_patient,ganglioneuroblastoma,ganglioneuroblastoma
FDL_patient,germ cell testis,germ_cell_tumour_testis
FDL_patient,glioblastoma,glioblastoma
FDL_patient,head and neck squamous,head_and_neck_squamous_carcinoma
FDL_patient,hepatoblastoma,hepatoblastoma
FDL_patient,hepatocellular carcinoma,hepatocellular_carcinoma
FDL_patient,high grade serous ovary,ovary_serous_carcinoma_high_grade
FDL_patient,leiomyosarcoma,leiomyosarcoma
FDL_patient,liposarcoma,liposarcoma
FDL_patient,low grade serous ovary,ovary_serous_carcinoma_low_grade
FDL_patient,lymphoma,lymphoma_unspecified
FDL_patient,mixed mullerian ovary,ovary_mixed_mullerian_tumour
FDL_patient,mucinous ovary,ovary_mucinous_carcinoma
FDL_patient,neuroblastoma,neuroblastoma
FDL_patient,non small cell lung adeno,lung_adenocarcinoma
FDL_patient,non small cell lung squamous,lung_squamous_cell_carcinoma
FDL_patient,normal adipose tissue,normal_adipose_tissue
FDL_patient,normal bladder,normal_bladder
FDL_patient,normal bone,normal_bone
FDL_patient,normal breast,normal_breast
FDL_patient,normal colon,normal_colon
FDL_patient,normal head and neck,normal_head_and_neck
FDL_patient,normal kidney,normal_kidney
FDL_patient,normal liver,normal_liver
FDL_patient,normal lung,normal_lung
FDL_patient,normal lymph node,normal_lymph_node
FDL_patient,normal oesophagus,normal_oesophagus
FDL_patient,normal pancreas,normal_pancreas
FDL_patient,normal prostate,normal_prostate
FDL_patient,normal skin,normal_skin
FDL_patient,normal small intestine,normal_small_intestine
FDL_patient,normal smooth muscle,normal_smooth_muscle
FDL_patient,normal soft tissue nos,normal_soft_tissue_nos
FDL_patient,normal stomach,normal_stomach
FDL_patient,normal testis,normal_testis
FDL_patient,normal thyroid,normal_thyroid
FDL_patient,normal uterus,normal_uterus
FDL_patient,oesophageal squamous,oesophagus_squamous_cell_carcinoma
FDL_patient,oesophagus adenocarcinoma,oesophagus_adenocarcinoma
FDL_patient,osteosarcoma,osteosarcoma
FDL_patient,pancreas neuroendocrine,pancreas_neuroendocrine_tumour
FDL_patient,pancreatic ductal adenocarcinoma,pancreatic_ductal_adenocarcinoma
FDL_patient,papillary renal cell carcinoma,renal_cell_carcinoma_papillary
FDL_patient,prostate adenocarcinoma,prostate_adenocarcinoma
FDL_patient,retinoblastoma,retinoblastoma
FDL_patient,rhabdoid tumour,rhabdoid_tumour
FDL_patient,rhabdomyosarcoma,rhabdomyosarcoma
FDL_patient,small cell carcinoma ovary,ovary_small_cell_carcinoma
FDL_patient,small cell lung cancer,small_cell_lung_carcinoma
FDL_patient,small intestine adenocarcinoma,small_intestine_adenocarcinoma
FDL_patient,stomach adenocarcinoma,stomach_adenocarcinoma
FDL_patient,synovial sarcoma,synovial_sarcoma
FDL_patient,thyroid papillary,thyroid_papillary_carcinoma
FDL_patient,transitional cell bladder,urothelial_carcinoma_bladder
FDL_patient,wilm's tumour,wilms_tumour
ProCan_cell_line,acute biphenotypic leukemia,acute_biphenotypic_leukemia
ProCan_cell_line,acute monocytic leukemia,acute_monocytic_leukemia
ProCan_cell_line,acute myelomonocytic leukemia,acute_myelomonocytic_leukemia
ProCan_cell_line,acute promyelocytic leukemia,acute_promyelocytic_leukemia
ProCan_cell_line,adenosquamous lung carcinoma,lung_adenosquamous_carcinoma
ProCan_cell_line,adrenal cortex carcinoma,adrenal_cortex_carcinoma
ProCan_cell_line,adult acute monocytic leukemia,acute_monocytic_leukemia_adult
ProCan_cell_line,adult acute myeloid leukemia,acute_myeloid_leukemia_adult
ProCan_cell_line,adult b acute lymphoblastic leukemia,b_all_adult
ProCan_cell_line,adult t acute lymphoblastic leukemia,t_all_adult
ProCan_cell_line,alveolar rhabdomyosarcoma,rhabdomyosarcoma
ProCan_cell_line,anaplastic large cell lymphoma,anaplastic_large_cell_lymphoma
ProCan_cell_line,anaplastic thyroid carcinoma,thyroid_anaplastic_carcinoma
ProCan_cell_line,b-cell prolymphocytic leukemia,b_cell_prolymphocytic_leukemia
ProCan_cell_line,barrett adenocarcinoma,oesophagus_adenocarcinoma
ProCan_cell_line,breast adenocarcinoma,breast_carcinoma_nos
ProCan_cell_line,breast squamous cell carcinoma,breast_squamous_cell_carcinoma
ProCan_cell_line,bronchogenic carcinoma,lung_carcinoma_nos
ProCan_cell_line,cecum adenocarcinoma,colorectal_adenocarcinoma
ProCan_cell_line,cervical adenocarcinoma,cervix_adenocarcinoma
ProCan_cell_line,cervical carcinoma,cervix_carcinoma_nos
ProCan_cell_line,cervical squamous cell carcinoma,cervix_squamous_cell_carcinoma
ProCan_cell_line,childhood acute myeloid leukemia,acute_myeloid_leukemia_child
ProCan_cell_line,childhood acute myeloid leukemia with maturation,acute_myeloid_leukemia_child
ProCan_cell_line,childhood b acute lymphoblastic leukemia,b_all_child
ProCan_cell_line,childhood t acute lymphoblastic leukemia,t_all_child
ProCan_cell_line,childhood t acute lymphoblastic lymphoma,t_lymphoblastic_lymphoma
ProCan_cell_line,chronic eosinophilic leukemia,chronic_eosinophilic_leukemia
ProCan_cell_line,clear cell renal cell carcinoma,renal_cell_carcinoma_clear_cell
ProCan_cell_line,colon adenocarcinoma,colorectal_adenocarcinoma
ProCan_cell_line,cutaneous melanoma,melanoma_cutaneous
ProCan_cell_line,cutaneous t-cell lymphoma,cutaneous_t_cell_lymphoma
ProCan_cell_line,diffuse large b-cell lymphoma,diffuse_large_b_cell_lymphoma
ProCan_cell_line,ductal breast carcinoma,breast_carcinoma_ductal
ProCan_cell_line,duodenal adenocarcinoma,colorectal_adenocarcinoma
ProCan_cell_line,embryonal rhabdomyosarcoma,rhabdomyosarcoma
ProCan_cell_line,endometrial adenocarcinoma,endometrial_adenocarcinoma
ProCan_cell_line,endometrial adenosquamous carcinoma,endometrial_adenosquamous_carcinoma
ProCan_cell_line,endometrial stromal sarcoma,endometrial_stromal_sarcoma
ProCan_cell_line,epithelioid cell type gastrointestinal stromal tumor,gist_epithelioid
ProCan_cell_line,epithelioid sarcoma,epithelioid_sarcoma
ProCan_cell_line,erythroleukemia,erythroleukemia
ProCan_cell_line,esophageal adenocarcinoma,oesophagus_adenocarcinoma
ProCan_cell_line,esophageal squamous cell carcinoma,oesophagus_squamous_cell_carcinoma
ProCan_cell_line,fibrosarcoma,fibrosarcoma
ProCan_cell_line,floor of mouth squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,follicular lymphoma,follicular_lymphoma
ProCan_cell_line,gallbladder carcinoma,cholangiocarcinoma
ProCan_cell_line,gastic small cell neuroendocrine carcinoma,gastric_neuroendocrine_carcinoma_small_cell
