dataset,cancer_type,joint_cancer_type
FDL_patient,adenocarcinoma,adenocarcinoma_unspecified
FDL_patient,basal cell carcinoma,basal_cell_carcinoma
FDL_patient,carcinoma,carcinoma_unspecified
FDL_patient,ganglioneuroblastoma,ganglioneuroblastoma
FDL_patient,germ cell ,germ_cell_tumour_unspecified
FDL_patient,glioblastoma,glioblastoma
FDL_patient,hepatoblastoma,hepatoblastoma
FDL_patient,lymphoma,lymphoma_unspecified
FDL_patient,melanoma,melanoma
FDL_patient,neuroblastoma,neuroblastoma
FDL_patient,neuroendocrine,neuroendocrine_tumour_unspecified
FDL_patient,normal,normal
FDL_patient,renal cell carcinoma,renal_cell_carcinoma
FDL_patient,retinoblastoma,retinoblastoma
FDL_patient,rhabdoid tumour,rhabdoid_tumour
FDL_patient,sarcoma,sarcoma_unspecified
FDL_patient,squamous,squamous_cell_carcinoma_unspecified
FDL_patient,thyroid papillary,thyroid_papillary_carcinoma
FDL_patient,transitional cell carcinoma,urothelial_carcinoma
FDL_patient,wilm's tumour,wilms_tumour
ProCan_cell_line,acute myeloid leukemia,acute_myeloid_leukemia
ProCan_cell_line,b-cell non-hodgkin's lymphoma,b_cell_non_hodgkin_lymphoma
ProCan_cell_line,b-lymphoblastic leukemia,b_lymphoblastic_leukemia
ProCan_cell_line,biliary tract carcinoma,biliary_tract_carcinoma
ProCan_cell_line,bladder carcinoma,bladder_carcinoma
ProCan_cell_line,breast carcinoma,breast_carcinoma
ProCan_cell_line,burkitt's lymphoma,burkitts_lymphoma
ProCan_cell_line,carcinoid tumour,neuroendocrine_tumour_carcinoid
ProCan_cell_line,cervical carcinoma,cervical_carcinoma
ProCan_cell_line,chondrosarcoma,chondrosarcoma
ProCan_cell_line,chronic myelogenous leukemia,chronic_myelogenous_leukemia
ProCan_cell_line,colorectal carcinoma,colorectal_carcinoma
ProCan_cell_line,endometrial carcinoma,endometrial_carcinoma
ProCan_cell_line,esophageal carcinoma,esophageal_carcinoma
ProCan_cell_line,ewing's sarcoma,ewings_sarcoma
ProCan_cell_line,gastric carcinoma,gastric_carcinoma
ProCan_cell_line,glioblastoma,glioblastoma
ProCan_cell_line,glioma,glioma_nos
ProCan_cell_line,hairy cell leukemia,hairy_cell_leukemia
ProCan_cell_line,head and neck carcinoma,head_and_neck_carcinoma
ProCan_cell_line,hepatocellular carcinoma,hepatocellular_carcinoma
ProCan_cell_line,hodgkin's lymphoma,hodgkins_lymphoma
ProCan_cell_line,kidney carcinoma,renal_cell_carcinoma
ProCan_cell_line,leiomyosarcoma,leiomyosarcoma
ProCan_cell_line,melanoma,melanoma
ProCan_cell_line,mesothelioma,mesothelioma
ProCan_cell_line,neuroblastoma,neuroblastoma
ProCan_cell_line,non-cancerous,normal
ProCan_cell_line,non-small cell lung carcinoma,non_small_cell_lung_carcinoma
ProCan_cell_line,osteosarcoma,osteosarcoma
ProCan_cell_line,other blood cancers,other_hematologic_malignancy
ProCan_cell_line,other sarcomas,sarcoma_unspecified
ProCan_cell_line,other solid carcinomas,carcinoma_unspecified
ProCan_cell_line,ovarian carcinoma,ovarian_carcinoma
ProCan_cell_line,pancreatic carcinoma,pancreatic_carcinoma
ProCan_cell_line,plasma cell myeloma,plasma_cell_myeloma
ProCan_cell_line,prostate carcinoma,prostate_carcinoma
ProCan_cell_line,rhabdomyosarcoma,rhabdomyosarcoma
ProCan_cell_line,small cell lung carcinoma,small_cell_lung_carcinoma
ProCan_cell_line,t-cell non-hodgkin's lymphoma,t_cell_non_hodgkin_lymphoma
ProCan_cell_line,t-lymphoblastic leukemia,t_lymphoblastic_leukemia
ProCan_cell_line,t-lymphoblastic lymphoma,t_lymphoblastic_lymphoma
ProCan_cell_line,thyroid gland carcinoma,thyroid_carcinoma_nos
ProCan_cell_line,uncertain,uncertain_malignancy
ProCan_cell_line,vulvar carcinoma,vulvar_carcinoma
