data_source,Tissue type,Cancer type,Cancer subtype,joint tissue type,joint Cancer type,joint Cancer subtype,matching cancer type,matching cancer subtype
ProCan_cell_line,haematopoietic and lymphoid,b-cell non-hodgkin's lymphoma,primary effusion lymphoma,haematopoietic and lymphoid,lymphoma,B-cell lymphoma,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,plasma cell myeloma,missing,haematopoietic and lymphoid,plasma cell neoplasm,plasma cell myeloma,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,chronic eosinophilic leukemia,haematopoietic and lymphoid,leukemia,chronic eosinophilic leukemia,FALSE,FALSE
ProCan_cell_line,lung,carcinoid tumour,lung carcinoid tumor,lung,lung neuroendocrine tumor,lung carcinoid tumor,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,acute monocytic leukemia,haematopoietic and lymphoid,leukemia,acute monocytic leukemia,FALSE,FALSE
ProCan_cell_line,stomach,gastric carcinoma,gastric signet ring cell adenocarcinoma,stomach,stomach carcinoma,stomach adenocarcinoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,t-lymphoblastic leukemia,childhood t acute lymphoblastic leukemia,haematopoietic and lymphoid,leukemia,T-cell leukemia,FALSE,FALSE
ProCan_cell_line,breast,breast carcinoma,breast adenocarcinoma,breast,breast carcinoma,breast adenocarcinoma,TRUE,TRUE
ProCan_cell_line,bone,ewing's sarcoma,missing,bone,sarcoma,ewing sarcoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,adult acute myeloid leukemia,haematopoietic and lymphoid,leukemia,adult acute myeloid leukemia,FALSE,FALSE
ProCan_cell_line,ovary,ovarian carcinoma,high grade ovarian serous adenocarcinoma,ovary,ovarian carcinoma,ovarian serous adenocarcinoma,TRUE,TRUE
ProCan_cell_line,skin,melanoma,missing,skin,skin melanoma,skin melanoma,TRUE,TRUE
ProCan_cell_line,head and neck,head and neck carcinoma,gingival squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,endometrium,endometrial carcinoma,endometrial adenocarcinoma,endometrium,endometrial carcinoma,endometrial adenocarcinoma,TRUE,TRUE
ProCan_cell_line,adrenal gland,other solid carcinomas,adrenal cortex carcinoma,adrenal gland,adrenal cortex carcinoma,adrenal cortex carcinoma,FALSE,FALSE
ProCan_cell_line,central nervous system,glioblastoma,missing,central nervous system,glioma,glioblastoma,TRUE,TRUE
ProCan_cell_line,breast,breast carcinoma,invasive ductal carcinoma of no special type,breast,breast carcinoma,ductal breast carcinoma,TRUE,FALSE
ProCan_cell_line,lung,small cell lung carcinoma,missing,lung,lung neuroendocrine tumor,small cell lung carcinoma,TRUE,TRUE
ProCan_cell_line,pancreas,pancreatic carcinoma,pancreatic ductal adenocarcinoma,pancreas,pancreatic carcinoma,pancreatic ductal adenocarcinoma,TRUE,TRUE
ProCan_cell_line,pancreas,pancreatic carcinoma,pancreatic adenocarcinoma,pancreas,pancreatic carcinoma,pancreatic adenocarcinoma,TRUE,TRUE
ProCan_cell_line,lung,mesothelioma,pleural biphasic mesothelioma,lung,lung mesothelioma,pleural biphasic mesothelioma,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,b-lymphoblastic leukemia,childhood b acute lymphoblastic leukemia,haematopoietic and lymphoid,leukemia,B-cell leukemia,FALSE,FALSE
ProCan_cell_line,prostate,prostate carcinoma,missing,prostate,prostate carcinoma,missing,TRUE,FALSE
ProCan_cell_line,breast,breast carcinoma,missing,breast,breast carcinoma,missing,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,b-cell non-hodgkin's lymphoma,diffuse large b-cell lymphoma,haematopoietic and lymphoid,lymphoma,B-cell lymphoma,TRUE,FALSE
ProCan_cell_line,peripheral nervous system,neuroblastoma,missing,neuroectodermal,neuroectodermal tumor,neuroblastoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,b-cell non-hodgkin's lymphoma,follicular lymphoma,haematopoietic and lymphoid,lymphoma,B-cell lymphoma,TRUE,FALSE
ProCan_cell_line,lung,non-small cell lung carcinoma,lung large cell carcinoma,lung,lung carcinoma,lung large cell carcinoma,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,chronic myelogenous leukemia,missing,haematopoietic and lymphoid,leukemia,chronic myelogenous leukemia,FALSE,FALSE
ProCan_cell_line,lung,non-small cell lung carcinoma,lung adenocarcinoma,lung,lung carcinoma,lung adenocarcinoma,TRUE,TRUE
ProCan_cell_line,other tissue,other solid carcinomas,primitive neuroectodermal tumor,neuroectodermal,neuroectodermal tumor,neuroectodermal tumor,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,b-cell non-hodgkin's lymphoma,missing,haematopoietic and lymphoid,lymphoma,B-cell lymphoma,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,burkitt's lymphoma,missing,haematopoietic and lymphoid,lymphoma,burkitt's lymphoma,TRUE,FALSE
ProCan_cell_line,large intestine,colorectal carcinoma,cecum adenocarcinoma,large intestine,colorectal carcinoma,colorectal adenocarcinoma,TRUE,TRUE
ProCan_cell_line,cervix,cervical carcinoma,human papilloma virus-related cervical squamous cell carcinoma,cervix,cervical carcinoma,HPV-related squamous cell carcinoma,TRUE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,oral cavity squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,kidney,kidney carcinoma,clear cell renal cell carcinoma,kidney,kidney carcinoma,clear cell renal cell carcinoma,TRUE,TRUE
ProCan_cell_line,liver,hepatocellular carcinoma,missing,liver,liver carcinoma,hepatocellular carcinoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,b-cell non-hodgkin's lymphoma,splenic marginal zone lymphoma,haematopoietic and lymphoid,lymphoma,B-cell lymphoma,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,t-lymphoblastic lymphoma,childhood t acute lymphoblastic lymphoma,haematopoietic and lymphoid,lymphoma,T-cell lymphoma,TRUE,FALSE
ProCan_cell_line,soft tissue,leiomyosarcoma,ovarian leiomyosarcoma,smooth muscle and soft tissue,sarcoma,leiomyosarcoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,non-cancerous,non-cancerous (b-lymphoblastoid),haematopoietic and lymphoid,normal haematopoietic and lymphoid - immortalized,b-lymphoblastoid,FALSE,FALSE
ProCan_cell_line,biliary tract,biliary tract carcinoma,intrahepatic cholangiocarcinoma,biliary tract,cholangiocarcinoma,cholangiocarcinoma,TRUE,TRUE
ProCan_cell_line,lung,mesothelioma,pleural sarcomatoid mesothelioma,lung,lung mesothelioma,pleural sarcomatoid mesothelioma,FALSE,FALSE
ProCan_cell_line,central nervous system,other solid carcinomas,medulloblastoma,central nervous system,glioma,medulloblastoma,FALSE,FALSE
ProCan_cell_line,central nervous system,glioma,low grade glioma,central nervous system,glioma,low grade glioma,TRUE,FALSE
ProCan_cell_line,ovary,ovarian carcinoma,ovarian clear cell adenocarcinoma,ovary,ovarian carcinoma,ovarian clear cell adenocarcinoma,TRUE,TRUE
ProCan_cell_line,ovary,ovarian carcinoma,ovarian adenocarcinoma,ovary,ovarian carcinoma,ovarian adenocarcinoma,TRUE,TRUE
ProCan_cell_line,lung,non-small cell lung carcinoma,squamous cell lung carcinoma,lung,lung carcinoma,lung squamous cell carcinoma,TRUE,TRUE
ProCan_cell_line,bladder,bladder carcinoma,missing,bladder,bladder carcinoma,bladder carcinoma,TRUE,TRUE
ProCan_cell_line,esophagus,esophageal carcinoma,esophageal squamous cell carcinoma,esophagus,esophageal carcinoma,esophageal squamous cell carcinoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,hodgkin's lymphoma,missing,haematopoietic and lymphoid,lymphoma,hodgkin's lymphoma,TRUE,FALSE
ProCan_cell_line,large intestine,colorectal carcinoma,colon adenocarcinoma,large intestine,colorectal carcinoma,colorectal adenocarcinoma,TRUE,TRUE
ProCan_cell_line,stomach,gastric carcinoma,missing,stomach,stomach carcinoma,missing,TRUE,FALSE
ProCan_cell_line,skin,melanoma,cutaneous melanoma,skin,skin melanoma,skin melanoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,other blood cancers,b-cell prolymphocytic leukemia,haematopoietic and lymphoid,leukemia,B-cell leukemia,FALSE,FALSE
ProCan_cell_line,soft tissue,other sarcomas,liposarcoma,smooth muscle and soft tissue,sarcoma,liposarcoma,TRUE,FALSE
ProCan_cell_line,pancreas,pancreatic carcinoma,missing,pancreas,pancreatic carcinoma,missing,TRUE,FALSE
ProCan_cell_line,testis,other solid carcinomas,testicular embryonal carcinoma,testis,testis carcinoma,testicular embryonal carcinoma,FALSE,FALSE
ProCan_cell_line,stomach,gastric carcinoma,gastric tubular adenocarcinoma,stomach,stomach carcinoma,stomach adenocarcinoma,TRUE,TRUE
ProCan_cell_line,stomach,gastric carcinoma,gastric adenocarcinoma,stomach,stomach carcinoma,stomach adenocarcinoma,TRUE,TRUE
ProCan_cell_line,lung,mesothelioma,pleural epithelioid mesothelioma,lung,lung mesothelioma,pleural epithelioid mesothelioma,FALSE,FALSE
ProCan_cell_line,ovary,ovarian carcinoma,ovarian cystadenocarcinoma,ovary,ovarian carcinoma,ovarian cystadenocarcinoma,TRUE,FALSE
ProCan_cell_line,soft tissue,other sarcomas,synovial sarcoma,smooth muscle and soft tissue,sarcoma,synovial sarcoma,TRUE,TRUE
ProCan_cell_line,ovary,ovarian carcinoma,ovarian serous adenocarcinoma,ovary,ovarian carcinoma,ovarian serous adenocarcinoma,TRUE,TRUE
ProCan_cell_line,soft tissue,rhabdomyosarcoma,alveolar rhabdomyosarcoma,smooth muscle and soft tissue,sarcoma,rhabdomyosarcoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,b-lymphoblastic leukemia,adult b acute lymphoblastic leukemia,haematopoietic and lymphoid,leukemia,B-cell leukemia,FALSE,FALSE
ProCan_cell_line,kidney,kidney carcinoma,missing,kidney,kidney carcinoma,missing,TRUE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,tongue squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,ovary,other solid carcinomas,ovarian granulosa cell tumor,ovary,ovarian carcinoma,ovarian granulosa cell tumor,TRUE,FALSE
ProCan_cell_line,lung,non-small cell lung carcinoma,missing,lung,lung carcinoma,missing,TRUE,FALSE
ProCan_cell_line,thyroid,thyroid gland carcinoma,hereditary thyroid gland medullary carcinoma,thyroid,thyroid carcinoma,thyroid medullary carcinoma,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,t-cell non-hodgkin's lymphoma,anaplastic large cell lymphoma,haematopoietic and lymphoid,lymphoma,T-cell lymphoma,TRUE,FALSE
ProCan_cell_line,endometrium,endometrial carcinoma,missing,endometrium,endometrial carcinoma,missing,TRUE,FALSE
ProCan_cell_line,ovary,ovarian carcinoma,ovarian mucinous adenocarcinoma,ovary,ovarian carcinoma,ovarian mucinous adenocarcinoma,TRUE,TRUE
ProCan_cell_line,kidney,kidney carcinoma,renal pelvis and ureter urothelial carcinoma,kidney,kidney carcinoma,renal pelvis and ureter urothelial carcinoma,TRUE,FALSE
ProCan_cell_line,vulva,vulvar carcinoma,vulvar squamous cell carcinoma,vulvar,vulvar carcinoma,vulvar squamous cell carcinoma,FALSE,FALSE
ProCan_cell_line,lung,mesothelioma,malignant pleural mesothelioma,lung,lung mesothelioma,malignant pleural mesothelioma,FALSE,FALSE
ProCan_cell_line,lung,non-small cell lung carcinoma,lung giant cell carcinoma,lung,lung carcinoma,lung giant cell carcinoma,TRUE,FALSE
ProCan_cell_line,large intestine,colorectal carcinoma,missing,large intestine,colorectal carcinoma,missing,TRUE,FALSE
ProCan_cell_line,esophagus,esophageal carcinoma,esophageal adenocarcinoma,esophagus,esophageal carcinoma,esophageal adenocarcinoma,TRUE,TRUE
ProCan_cell_line,soft tissue,rhabdomyosarcoma,embryonal rhabdomyosarcoma,smooth muscle and soft tissue,sarcoma,rhabdomyosarcoma,TRUE,TRUE
ProCan_cell_line,head and neck,head and neck carcinoma,head and neck squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,pancreas,pancreatic carcinoma,pancreatic adenosquamous carcinoma,pancreas,pancreatic carcinoma,pancreatic adenosquamous carcinoma,TRUE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,parotid gland mucoepidermoid carcinoma,head and neck,head and neck carcinoma,parotid gland mucoepidermoid carcinoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,hairy cell leukemia,hairy cell leukemia,haematopoietic and lymphoid,leukemia,hairy cell leukemia,FALSE,FALSE
ProCan_cell_line,lung,other solid carcinomas,lung mucoepidermoid carcinoma,lung,lung carcinoma,lung mucoepidermoid carcinoma,TRUE,FALSE
ProCan_cell_line,bone,osteosarcoma,missing,bone,sarcoma,osteosarcoma,TRUE,TRUE
ProCan_cell_line,breast,breast carcinoma,ductal breast carcinoma,breast,breast carcinoma,ductal breast carcinoma,TRUE,FALSE
ProCan_cell_line,cervix,cervical carcinoma,cervical adenocarcinoma,cervix,cervical carcinoma,cervical adenocarcinoma,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,t-lymphoblastic leukemia,adult t acute lymphoblastic leukemia,haematopoietic and lymphoid,leukemia,T-cell leukemia,FALSE,FALSE
ProCan_cell_line,cervix,cervical carcinoma,cervical carcinoma,cervix,cervical carcinoma,cervical adenocarcinoma,FALSE,FALSE
ProCan_cell_line,liver,hepatocellular carcinoma,hepatoblastoma,liver,liver carcinoma,hepatoblastoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,acute myelomonocytic leukemia,haematopoietic and lymphoid,leukemia,acute myelomonocytic leukemia,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,erythroleukemia,haematopoietic and lymphoid,leukemia,erythroleukemia,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,t-cell non-hodgkin's lymphoma,cutaneous t-cell lymphoma,haematopoietic and lymphoid,lymphoma,T-cell lymphoma,TRUE,FALSE
ProCan_cell_line,thyroid,thyroid gland carcinoma,thyroid gland anaplastic carcinoma,thyroid,thyroid carcinoma,thyroid anaplastic carcinoma,TRUE,FALSE
ProCan_cell_line,thyroid,thyroid gland carcinoma,poorly differentiated thyroid gland carcinoma,thyroid,thyroid carcinoma,poorly differentiated thyroid gland carcinoma,TRUE,FALSE
ProCan_cell_line,lung,non-small cell lung carcinoma,adenosquamous lung carcinoma,lung,lung carcinoma,adenosquamous lung carcinoma,TRUE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,salivary gland squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,ovary,ovarian carcinoma,ovarian endometrioid adenocarcinoma,ovary,ovarian carcinoma,ovarian endometrioid adenocarcinoma,TRUE,TRUE
ProCan_cell_line,soft tissue,other sarcomas,epithelioid sarcoma,smooth muscle and soft tissue,sarcoma,epithelioid sarcoma,TRUE,FALSE
ProCan_cell_line,soft tissue,other sarcomas,fibrosarcoma,smooth muscle and soft tissue,sarcoma,fibrosarcoma,TRUE,TRUE
